common_name,scientific_name,temp_air_c,temp_water_c,soil_moisture,humidity,nutrient,ph,min_germination_days,max_germination_days,instructions
,Prunus prostrata,,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Psoralea argophylla, esculenta, and tenuiflora,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Pterocephalus perennis,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Ptilotrhchum pyrenaicum,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Ptilotrichum spinosum,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Lungwort,"Pulmonaria mollissima, officinalis, rubra, and saccarata ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Pulsatilla alba, albana, alpina, ambigua, dahurica, grandis, halleri, montana, occidentalis, patens, pratensis, serotina, and vernalis ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Pulsatilla vulgaris ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Punica granatum,,,,,,,,,"Sow at 23ºC (73ºF), germinates in about two wks"
,"Pycnanthemum incanum, and pilosum ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,"Pycnanthemum tenuifolium, and virginianum ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF)"
,"Ramonda myconi, and nathaliae ,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Buttercup,"Ranunculus aconitifolius , amplexicaulis, buchananii, fascicularis, flammula, glacialis, gramineus, haastii, insignis, lyallii, nivicola, pachyrrhizus, parnassifolius, pyrenaeus, romboides, sericophyllus, and thora,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to 5ºC (23ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Raoulia australis, subserica, and tenuicaulis",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Ratibida columnaris, columnifera, and pinnata ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Rehmannia elata,,,,,,,,,"Sow at 23ºC (73ºF), germinates in about two wks"
,"Rheum australe, and palmatum",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Rhexia virginica,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Rhodiola rosea ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Rhodiola rhodantha, and semenovii ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Rhododendron camtschaticum, and ferrugineum",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Rodgersia,"Rodgersia henrici hybrids, and podophylla ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Rodgersia,"Rodgersia aesculifolia, pinnata, sambucifolia, and tabularis,",,,,,,,,,"Sow at 20ºC (68ºF), germ. in less than two wks"
,"Romneya coulteri, and trichocalyx,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Roscoea alpina ,",,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Roscoea auriculata, cautleoides, purpurea, and scillifolia,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination in about 2 weeks"
,"Rosmarinus officinalis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Black-eyed Susan,"Rudbeckia fulgida, hirta, and maxima ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Black-eyed Susan,"Rudbeckia laciniata, nitida, occidentalis, and purpurea ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Black-eyed Susan,"Rudbeckia subtomentosa, and triloba ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Ruellia humilis ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Rumex acetosella, and sanguineus",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Rumex flexuosus,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Rumex hydrolapathum,,,,,,,,,Sow at 22ºC (72ºF) in muddy compost
,Ruscus aculeatus,,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Ruta graveolens ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Sabatia angularis,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Saccharum ravennae,,,,,,,,,"Extract seeds from pods, then sow at 20ºC (68ºF), germinates in less than two wks"
,"Sagina subulata ,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germinates in less than two wks"
,"Sagittaria sagittifolia ,",,,,,,,,,Sow at 22ºC (72ºF) in muddy compost
Sage,"Salvia farinacea , forskaohlei, miltiorrhiza, officinalis, sclarea, and x superba ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Sage,"Salvia amplexicaulis, argentea, glutinosa, hians, jurisicii, lavandulifolia, lyrata, nemorosa, pratensis, przewalskii, recognita, transylvanica, and verticillata,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Sage,Salvia ringens,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Sanguinaria canadensis ,",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Sanguisorba canadensis, hakusanensis, obtusa, officinalis, parviflora, and tenuifolia,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Sanguisorba minor ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Sanicula europaea,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Santolinia chamaecyparissus, and rosmarinifolius ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several months"
,"Saponaria ocymoides ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Saponaria caespitosa, lutea, officinalis, and pumila",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Sarcococca ruscifolia,,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Satureja montana ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Saxifrage,"Saxifraga aizoides, aspera, biflora , burseriana, cochlearis, cotyledon, cuneifolia, diapensioides, exarata, ferdinandi-coburgi rhodopea, granulata, grisebachii, hostii, longifolia, manschuriensis, marginata, oppositifolia, paniculata, sachalinensis, sedoides, sempervivum, spathularis, stellaris, stribrnyi, umbrosa, and x urbium,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Saxifrage,"Saxifraga pennsylvanica ,",,,,,,,,,"Surface sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Saxifrage,"Saxifraga x arendsii, mutata, and rotundifolia,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Pincushion Flower,"Scabiosa caucasica ,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination in about 2 weeks"
Pincushion Flower,"Scabiosa columbaria, graminifolia, japonica, lucida, and ochroleuca,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Schivereckia doerfleri,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Schivereckia podolica,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Schizachyrium scoparium,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Scilla bifolia,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Scirpus holoschoenus, lacustris, and tabernaemontani",,,,,,,,,Sow at 22ºC (72ºF) in muddy compost
,"Scirpus mucronatus, and sylvaticus",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Scleranthus uniflorus,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Scopolia carniolica,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Scrophularia grandiflora,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Scrophularia nodosa,,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several months"
,"Scutellaria alpina, baicalensis, indica, orientalis, parvula, pontica, and velenovskyi,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Scutellaria galericulata,,,,,,,,,"Wash seeds several times, Sow at +4ºC (39ºF) for 6 wks, move to 16ºC (60ºF) for germ."
,Scutellaria incana,,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several months"
,Scutellaria altissima,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Stonecrop,"Sedum acre, aizoon, forsterianum, rupestre, and spurium,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Stonecrop,"Sedum anacampseros, floriferum, kamtschaticum, lanceolatum, oreganum, pulchellum, and reflexum,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Stonecrop,"Sedum album, ewersii, spathulifolium, and ternatum,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Stonecrop,"Sedum populifolium, and telephium ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Selinum carvifolia,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Semiaquilegia adoxiodes, and ecalcarata,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Houseleek,"Sempervivum arachnoideum, calcareum, grandiflorum, montanum, and tectorum,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Senecio aureus, incanus, integrifolius, nemorensis, pauperculus, and plattensis,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germ."
,Senecio cineraria,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Senecio doronicum,,,,,,,,,Sow at -4 to +4ºC (24-39ºF) for erratic germination
,Senna hebecarpa,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Serratula tinctoria,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Seseli elatum, gracilis, montanum, and rigida,",,,,,,,,,"Sow at 20ºC (68ºF), germination irregular"
,Seseli gummiferum,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Sesleria caerulea, heuffleriana, nitida, and sadlerana",,,,,,,,,Sow at -4 to +4ºC (24-39ºF) for erratic germination
,"Sidalcea candida, hybrida, malvaflora, and neomexicana,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 2 wks, move to -4 to +4ºC (24-39ºF) indefinitely."
,Sideritis syriaca,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Campion,"Silene alpestris, apetalum, bellidoides, fimbriata, orientalis, and schafta,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Campion,"Silene acaulis, asterias, californica, caroliniana, coeli-rosea, maritima, pusilla, regia, waldsteinii, and zawadskii,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Campion,"Silene alba, caryophylloides, dioica, hookerii, nutans, saxifraga, scouleri, uniflora, vallesia, and vulgaris,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Campion,"Silene elisabethae, and vallesia,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Silphium dentata, integrifolium, laciniatum, and perfoliatum,",,,,,,,,,"Sow at 4ºC (40ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Silphium terebinthinaceum ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Silybum marianum,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Sisyrinchium albidum, angustifolium, bellum, californicum, campestre, douglasii, montanum, and striatum,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Smilacina racemosa ,",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Smilacina stellata ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Smyrnium perfoliatum,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Solanum dulcamara,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Soldanella alpina, carpatica, montana, and pusilla,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for slow germination"
Goldenrod,"Solidago altissima, caesia, canadensis, cutleri, gigantea, glomerata, graminifolia, juncea, missouriensis, multiradiata, nemoralis, pinetorum, puberula, remota, riddellii, rigida, roanesis, sempervirens, speciosa, sphacelata, uliginosa, and virgaurea,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Solidaster luteus (Aster x Solidago) ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Sorghastrum nutans ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Sparganium erectum,,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 6 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, then allow temperatures to raise gradually."
,"Spartina pectinata ,",,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 6 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, then allow temperatures to raise gradually."
,Spergularia rubra,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Sphaeralcea coccinea,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Sphenopholis intermedia ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Spiranthes cernua ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Spodiopogon sibiricus,,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in about two wks"
,"Sporobolus asper, cryptandrus, and heterolepsis,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Lamb's Ear,"Stachys byzantina, coccinea, lanata, and olympica ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Lamb's Ear,"Stachys grandiflora, monnieri, and officinalis ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Lamb's Ear,"Stachys palustris,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Stellaria holostea,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Sternbergia candida, clusiana, and fischeriana",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Stipa barbata, calamagrostis, grandis, pennata, spartea, tenuissima, and viridula,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Stipa extremiorientalis, pulcherrima, tenuissima, and ucrainica",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Stipa capillata, and gigantea",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Stokesia laevis ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) indefinitely."
,"Stylophorum diphyllum, and lasiocarpum,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Succisa pratensis,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Swertia kingii, and perennis,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Symphyandra armena, hofmanii, pendula, wanneri, and zanzegur,",,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in less than two wks"
,"Symphytum officinale, and tuberosum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Talinum okanoganense,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Talinum rugospermum,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Tanacetum balsamita, cineariifolium, coccineum, corymbosum, demetrii, huronense, niveum, parthenium, and vulgaris,",,,,,,,,,"Sow at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Taraxacum officinale,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Telekia speciosa ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Tellima grandiflora ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Tephrosia virginiana ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Tetragonolobus maritimus,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Teucrium canadense, flavum, and nassilense ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Teucrium chamaedrys, and montanum,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Teucrium hyrcanicum ,",,,,,,,,,"Sow at +4ºC (39ºF) for 8 wks, then move to coldframe for oscillating temps"
,"Teucrium polium, and scorodonia",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
Meadow Rue,"Thalictrum aquilegifolium, chelidonii, dasycarpum, dipterocarpum, flavum, foetidum, lucidum, minus, revoltum, and rochebrunianum ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Thamnocalamus spathaceus,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Thaspium trifoliatum ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Themeda triandra japonica,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Thermopsis caroliniana, lanceolata, and montana ,",,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Soak for 1-2 days. Sow at 20ºC (68ºF), germinates in about 2 weeks"
,Thlaspi rotundifolium,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Thyme,"Thymus pulegioides, serpyllum, and vulgaris,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,"Tiarella polyphylla, and wherryi",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Tofieldia calyculata,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Tofieldia glutinosa,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Tolmiea menziesii,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Townsendia florifera, grandiflora, and incana,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,Trachelium caeruleum,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Tradescantia x andersoniana, ohiensis, and virginiana,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Trichostema dichotoma ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Tricyrtis hirta, latifolia, and maculata,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Tricyrtis macropoda,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Trifolium alpinum,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Trifolium ochroleucum, and rubens ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Trillium cernuum, cumeatum, erectum, grandiflorum, luteum, sessile, and undulatum,",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring or in the spring of subsequent years.
,"Tripterospemum marianum ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Trisetum flavescens,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Globeflower,"Trollius acaulis, altaicus, asiaticus, chinensis, x cultorum, europaeus, laxus, pumilus, and yunnanensis,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -6 to -7ºC (19-21ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Tropaeolum ciliatum, and speciosum,",,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Soak seeds 1-2 days or until swelling noticeable. Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Tulipa kaufmanniana, pulchella, sprengeri, sylvestris, tarda, turkestanica, and urumiensis",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Typha angustifolia, latifolia, laxmannii, and shuttleworthii,",,,,,,,,,"Sow in muddy compost at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) gradually, for germination"
,Unicinia rubra,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Vaccinium macrocarpon, and myrtillus,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Vaccinium vitis-idaea,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Valeriana ciliata, and officinalis,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Vania campylophylla ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Veratrum album, californicum, nigrum, and viride",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -6 to -7ºC (19-21ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Mullein,"Verbascum blattaria, bombyciferum, chaixii, densiflorum, hybridum, longifolium, olympicum, phoeniceum, roripifolium, and thapsus,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Mullein,Verbascum nigrum,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Verbena,"Verbena bonariensis, rigida, and stricta,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 4 wks, move to 20ºC (68ºF)for germination"
Verbena,"Verbena hastata ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Verbena,"Verbena tenuisecta ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Verbesina alternifolia, virginica ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Vernonia altissima, baldwinii, crinita, fasciculata, missurica, noveboracensis, and novaborensis,",,,,,,,,,"Sow at 4ºC (40ºF) for 12 wks, move gradually to 20ºC (75ºF) for germination"
